Family,GcA-0,GcA-1,GcA-2,GcA-3,GcA4,GcA5,GcA6,GcA7,GcA8,GcA9,GcA10,GcA11,GcA12,GcA13,GcA14,GcB-0,GcB-1,GcB-2,GcB-3,GcB4,GcB5,GcB6,GcB7,GcB8,GcB9,GcB10,GcB11,GcB12,GcB13,GcB14,GcC-0,GcC-1,GcC-2,GcC-3,GcC5,GcC6,GcC7,GcC8,GcC9,GcC10,GcC11,GcL-0,GcL-1,GcL-2,GcL-3,GcL4,GcL5,GcL6,GcL7,GcL8,GcL9,GcL10,GcL11,GcL12,GcL13
2-12-FULL-67-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000199261200778651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000112372176649062,0,0,0,0,0,0,0,0
2013-40CM-41-45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000488970987721395,0.000351361525912913,0,0,0,0,0,0,0,0,0,0.003502515442909,0.00535718190365819,0.00606411202649059,0.00434530706836616,0.000383194616882022,0,0,0,0,0,0,0,0,0,0,0,0.000243955329068633,0,0,0,0,0,0,0,0,0.000235017626321974,0.00153481504507305,0.00670822089620311,0.00720023435452289
40CM-4-68-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000115809994402517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00031467431208699,0.000233038151674546,0.000417014178482068,0.000564828701088756,0.000623887977447605,0.000124790530181481,8.93455438909984e-05,0,6.79686437989941e-05,0,0.000172729471102359,0,0,0,0.000420742610707899,0.000144478512834508,0,0,0,0,0,0,0,0
4484-276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000323058796701,0.000308361214326462
54-19,0,0,0,0,0,0,0,0,0,0,0.000764693030369237,0.00037237706902009,0.000121953344134915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70-9,0.000563497860795158,0.00100485680790487,0.000602264514574801,0.000509833911798733,0.00158848446815187,0,0.00129811491138955,0,0.000424641329733993,0,0,0.000242045094863058,0,0,0,0.00328697163968271,0.00291128121470699,0.0041821119665431,0.00200672252044349,0.0104690960338232,0.0115536854116892,0.00544059521041618,0.00120840304889385,0,0.000245122070791254,0,0.000297183128489248,0.000743445651936239,0.000239372843150945,0.000386249517188104,0.000490489109608988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00033659408856632,0.00149294463262325,0,0,0,0,0,0.000194280385452285,0,0
Abditibacteriaceae,0,0,0,0,0,0,0,0,0,0,0,0,0.000104531437829927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Absconditicoccaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.79374275782155e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acetivibrionaceae,0.00116873630387144,0.000837380673254061,0.000843170320404722,0.000784359864305744,0,0,0,0,0,0,0.000764693030369237,0.0020666927330615,0.00669001202111535,0.0139358026597695,0.017160875629131,0.000679126371835271,0,0.000285143997718848,0,0,0,0,0,0,0,0,0.000997686217071048,0.00288631841339951,0.00548562765554248,0.00720355349555813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acetivibrionales Order,0,0,0,0.000705923877875169,0,0,0,0,0,0,0,0.00104265579325625,0.00123695534765414,0.00173714991603775,0.000667030501485659,0,0,0,0,0,0,0,0,0,0,0,0.000403319960092551,0.00104957033214528,0.000857752687957551,0.00104287369640788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00034206225533047,0.000817157217965124
Acetobacteraceae,0.0123343420640718,0.0064199184949478,0.00780534810888942,0.00845147753789439,0.00900141198619391,0.00703866635795323,0.0163110960605034,0.0203919228091117,0.00621796232824775,0.00234453500055822,0.00229407909110771,0.00312796737976875,0.00200351922507361,0.0024127082167191,0.00258726982394437,0.000244485493860698,0,0,0,0.000246068496521486,0.000285276183004671,0,0,0,0,0,0,0,0,7.72499034376207e-05,0.00683619196517527,0.00374112793258977,0,0.00176617769710052,0.0085113842198547,0.00554567091064538,0.00187185795272222,0.00102747375474648,0.000467344315924758,0.00131406044678055,0.00144894244871274,0.00347186236915743,0.00233112869998916,0.000616465801559658,0.00126796280642434,0.00506994845903019,0.00500858844492961,0.0136235818869388,0.00497909718634036,0,0,0.00138660399529965,0.00134053465962076,0.000570103758884117,0.001002173946561
Acidimicrobiales Order,0.000960033392465825,0,0,0.000352961938937585,0.0050400062754942,0.00254688585320676,0.00129811491138955,0,0,0,0,0.000186188534510045,0.000505235282844649,0.000115809994402517,0,0.00388460284689775,0.00238423892583762,0.00129898932294142,0.00170571414237696,0.0181195892893094,0.00606211888884927,0.00144152522669147,0.000836586726157278,0,0,0,0.000233501029527267,0.0002186604858636,0,0.000270374662031672,0.00286629573427753,0.00157337156043495,0.00372861042679273,0.0034342344110288,0.00946574995617708,0.00261108672042887,0.000285235497557671,0.000357382175563994,0.000545235035245551,0.000453124291993294,0.000724471224356369,0.00202093481189761,0.00124688279301746,0.00101716857257344,0.00162388219068381,0.0180288208688335,0.0110445796477935,0.00533307476001164,0,0,0,0.000282021151586369,0,0.000171031127665235,4.62541821489693e-05
Acidimicrobiia Class,0,0,0,0,0.00292202698462504,0,0,0,0,0,0,0,0.000174219063049879,0,0.000242556545994785,0.000787786591328915,0.000702723051825825,0.00126730665652821,0.000877941102694025,0.00181195892893094,0.00174731662090361,0.00139502441292723,0,0,0,0,0,0,0,0,0.00387792952284606,0,0,0,0,0,0,0,0,0,0,0,0.00636994470345874,0.00409949758037173,0.00420429772656493,0.0192910487009572,0.0178029634148299,0.00766023465528944,0.00248954859317018,0.000510464522715671,0,0.000587544065804935,0.000427416847995026,0.000399072631218882,0.000231270910744847
Acidobacteriaceae,0.0121673797349473,0.0130352258136549,0.0117562033245001,0.00919661940898484,0.000509883903357389,0,0,0.00492390331244405,0.0180775880372471,0.0264225373078784,0.0147840652538053,0.0118415907948389,0.00745657589853482,0.00642745468933969,0.00614476583186789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000996306003893257,0.00220272018460893,0.00249683733937013,0.000932149340136388,0.00112965740217751,0.00221826836425815,0.0026206011338111,0.00151887424614697,0.00124625150913269,0,0.00159030268761154,0.0013472898745984,0.000298167624417218,0,0.000489389153356765,0,0,0,0,0,0,0.000211515863689777,0.000738265464718682,0.00034206225533047,0
Acidobacteriota Phylum,0,0,0,0,0.00049027298399749,0,0,0,0,0,0,0,0,0,0,0.000923611865695969,0.00163132137030995,0,0.000777604976671851,0,0.000677530934636095,0.000790513833992095,0.00227737497676148,0,0,0,0.00106136831603303,0.000437320971727199,0.000239372843150945,0.000637311703360371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000904596613021984,0.001043455926027,0,0,0,0,0,0,0,0
Acidothermaceae,0.00231660231660232,0.00114442025344722,0.00137316309323055,0.00109810381002804,0.00103937872607468,0.00338041213243806,0.00491026075177785,0,0,0,0.000801106984196344,0.000260663948314063,0.000313594313489782,0.000463239977610068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Actinomycetales Order,0.000459146405092351,0,0,0,0.000921713209915281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000246068496521486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Actinomycetia Class,0.00221225086089951,0.00167476134650812,0.00166225006022645,0.00127458477949683,0.00758942579228114,0.00926140310257004,0,0,0,0,0,0.000446852482824108,0,0,0.000444687000990439,0.000380310768227752,0,0,0,0.00259490414513567,0.000641871411760511,0,0,0,0,0,0,0,0,0,0.000735733664413482,0.00066431243662809,0,0.000392483932689006,0.000681689811658844,0,0,0,0,0,0,0.000345458942204719,0.000460804510462973,0.000493172641247727,0,0.00809929525612706,0.0018782206668486,0,0,0,0,0,0,0,0
Actinomycetota Phylum,0.000271313784827298,0,0,3.92179932152872e-05,0.000921713209915281,0.000138921046538551,0,0,0.000394309806181565,0,0,0,0.000139375250439903,0,0,0,0,0,0,0.000134219179920811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Actinopolymorphaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000134219179920811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acutalibacteraceae,0,0,0,0,0,0,0,0,0,0,0,0.000651659870785157,0.000296172407184794,0.00013511166013627,0,0,0,0,0,0,0,0,0,0,0,0,0.000275955762168588,0.00013119629151816,9.97386846462269e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.70103758884117e-05,0
Aeribacillaceae,0,0,0,0,0,0,0,0,0,0,0,0,0.000261328594574818,0.00013511166013627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aeromonadaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000106136831603303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aestuariivirgaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000101065227497827,0.0014940780180376,0.00255991968879408,0.00250293064664322,0.00210705864646566,0,0,0,0,0,0.00995195607412491,0.00901306894997747,0.00299305865121314,0.000940240089213478,0.00161576669126888,0.000888373889532638,0,0.00059438481171987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aggregatilineaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000543301097468217,0,0,0,0.000156589043240946,0,0.000651011392699372,0.00158021937163041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
